"";"tnr";"enr";"bnr";"bhd2";"hori";"azi";"pk";"bhd";"kf2";"nha2";"bemerkung"
"42386";62541;1;1;41;96;134;1;410;0;0;""
"42387";62541;1;3;51,6;335;259;1;516;0;0;""
"42388";62541;1;4;22,2;368;346;1;222;0;0;""
"42389";62541;1;5;44,9;312;396;1;449;0;0;""
"42390";62541;1;6;46,7;889;370;1;467;0;0;""
"42391";62541;1;7;37;843;361;0;370;0;0;""
